User_ID,User_Skills
1,"Python, C++, Machine Learning"
2,"AI, Python, Data Science"
3,"CSS, Python, Machine Learning"
4,"SQL, Machine Learning, C++"
5,"Machine Learning, HTML, JavaScript"
6,"Java, Data Science"
7,"AI, Python, HTML, JavaScript"
8,"Java, Data Science"
9,"SQL, Machine Learning, Java, HTML"
10,"SQL, Machine Learning, AI, C++"
11,"JavaScript, Machine Learning"
12,"Java, C++, Python, Data Science"
13,"HTML, Data Science, Java, Machine Learning, C++"
14,"Machine Learning, C++"
15,"SQL, Python, CSS, AI"
16,"HTML, C++, CSS"
17,"SQL, AI"
18,"AI, SQL"
19,"Python, C++, AI, Machine Learning"
20,"Java, JavaScript, C++, Python"
21,"Machine Learning, Data Science, SQL"
22,"JavaScript, SQL, Machine Learning"
23,"C++, Java, HTML"
24,"SQL, Machine Learning, Java, C++, AI"
25,"Machine Learning, Data Science, AI"
26,"CSS, JavaScript"
27,"JavaScript, Java, Python, C++, SQL"
28,"C++, HTML, Python"
29,"CSS, Python"
30,"JavaScript, Python, CSS, SQL"
31,"Java, CSS"
32,"AI, JavaScript"
33,"Java, C++, JavaScript, HTML"
34,"Java, C++, CSS, Machine Learning, SQL"
35,"AI, HTML, C++, Python"
36,"AI, Data Science, SQL"
37,"JavaScript, Java"
38,"HTML, Java, SQL, CSS, JavaScript"
39,"Python, JavaScript, CSS"
40,"Data Science, Java"
41,"Machine Learning, Java, SQL, CSS"
42,"CSS, SQL, Data Science, Java, HTML"
43,"AI, JavaScript, Python, CSS, C++"
44,"Java, Python, CSS, SQL"
45,"C++, Machine Learning, AI"
46,"SQL, JavaScript, Data Science"
47,"C++, HTML, Data Science"
48,"C++, CSS, HTML, Machine Learning"
49,"Data Science, Python, C++, Java, Machine Learning"
50,"SQL, C++"
51,"SQL, HTML"
52,"Java, AI, C++"
53,"AI, CSS, Machine Learning, C++, SQL"
54,"Java, SQL, C++, AI"
55,"AI, CSS, HTML"
56,"AI, Data Science, HTML, JavaScript"
57,"C++, CSS, Java, Data Science"
58,"Machine Learning, AI, C++"
59,"JavaScript, Python"
60,"SQL, JavaScript, Data Science"
61,"SQL, Machine Learning, Java"
62,"C++, SQL, JavaScript, Python"
63,"Java, HTML, CSS, JavaScript, AI"
64,"SQL, CSS, Python, JavaScript, Machine Learning"
65,"Data Science, Python"
66,"CSS, AI, C++"
67,"SQL, AI"
68,"Data Science, Python, CSS"
69,"C++, AI, Python"
70,"Java, AI, SQL, Machine Learning, HTML"
71,"Data Science, Java, Python"
72,"Java, Data Science"
73,"AI, C++, Python, Data Science"
74,"Data Science, Python, HTML, CSS, SQL"
75,"Machine Learning, AI, SQL, C++, Java"
76,"HTML, C++, Java, JavaScript"
77,"Machine Learning, AI"
78,"AI, Java, JavaScript, CSS"
79,"CSS, JavaScript, Machine Learning, Data Science"
80,"JavaScript, SQL"
81,"SQL, Machine Learning"
82,"SQL, Machine Learning, HTML"
83,"JavaScript, HTML, Data Science"
84,"Machine Learning, SQL, AI, Java"
85,"JavaScript, CSS"
86,"Java, JavaScript, AI, SQL"
87,"CSS, Data Science, SQL, Machine Learning"
88,"JavaScript, Machine Learning"
89,"AI, JavaScript, CSS, Java"
90,"AI, Java, Python"
91,"AI, Machine Learning, Python"
92,"AI, JavaScript"
93,"C++, Machine Learning, CSS, SQL, JavaScript"
94,"Java, SQL, JavaScript, CSS, C++"
95,"CSS, JavaScript, Machine Learning, SQL, HTML"
96,"JavaScript, Data Science, Java, Machine Learning, Python"
97,"HTML, Data Science, Python, C++"
98,"JavaScript, HTML, AI"
99,"CSS, AI, C++, SQL"
100,"AI, CSS"
